risk_profile_id,account_id,risk_level,risk_score,chargeback_rate,refund_rate,risk_surcharge_rate,assessed_at
1,1,low,0.0982,0.005867,0.014596,0.0,2022-05-03 02:17:14
2,2,low,0.1076,0.00504,0.02267,0.0,2024-11-24 18:31:29
3,3,medium,0.1342,0.007426,0.017626,0.0015,2024-06-14 10:53:31
4,4,high,0.4182,0.02917,0.071239,0.004,2023-08-24 09:15:24
5,5,medium,0.1958,0.007588,0.039014,0.0015,2023-08-16 08:45:22
6,6,high,0.2829,0.014401,0.043736,0.004,2025-03-20 13:29:12
7,7,medium,0.1359,0.007739,0.025879,0.0015,2022-04-28 13:46:01
8,8,low,0.1069,0.005503,0.01786,0.0,2024-08-11 23:59:13
9,9,low,0.0861,0.004665,0.012235,0.0,2022-10-03 14:38:52
10,10,medium,0.2449,0.015627,0.051138,0.0015,2022-05-09 20:01:50
11,11,low,0.1066,0.006587,0.015478,0.0,2023-12-22 05:21:28
12,12,low,0.0403,0.002182,0.006255,0.0,2025-08-27 15:37:58
13,13,high,0.2593,0.011743,0.046092,0.004,2024-10-03 12:13:18
14,14,low,0.1179,0.005341,0.020181,0.0,2024-11-07 05:44:19
15,15,medium,0.2048,0.013425,0.033069,0.0015,2024-09-08 12:12:50
16,16,medium,0.1453,0.0077,0.026553,0.0015,2024-12-11 08:03:47
17,17,high,0.2814,0.013554,0.051562,0.004,2023-12-04 02:15:17
18,18,low,0.0861,0.005374,0.014084,0.0,2022-06-25 06:13:36
19,19,high,0.3062,0.016873,0.049191,0.004,2025-02-22 18:36:49
20,20,low,0.1037,0.005459,0.012417,0.0,2023-09-09 03:04:15
21,21,medium,0.1601,0.00649,0.029661,0.0015,2023-11-16 11:33:14
22,22,high,0.3622,0.025723,0.079289,0.004,2023-05-23 06:02:26
23,23,high,0.2964,0.020222,0.039985,0.004,2022-09-07 17:28:10
24,24,medium,0.1581,0.010827,0.019609,0.0015,2025-06-21 19:32:53
25,25,high,0.2656,0.011288,0.056509,0.004,2024-12-05 04:25:21
26,26,medium,0.2081,0.011483,0.031076,0.0015,2024-05-30 19:22:46
27,27,medium,0.1558,0.011356,0.028516,0.0015,2023-07-05 12:04:06
28,28,medium,0.1692,0.0122,0.026482,0.0015,2025-01-30 12:54:33
29,29,low,0.0982,0.003588,0.016445,0.0,2024-01-17 03:31:43
30,30,low,0.01,0.000353,0.001401,0.0,2023-08-30 14:10:29
31,31,medium,0.1374,0.007618,0.026444,0.0015,2022-11-07 20:42:06
32,32,low,0.1036,0.004505,0.016626,0.0,2022-05-07 01:00:22
33,33,medium,0.2269,0.009849,0.035809,0.0015,2024-01-29 16:07:39
34,34,low,0.1031,0.005528,0.017256,0.0,2025-04-29 15:11:57
