account_id,email,created_at,region,business_segment,company_size,account_status,closed_at
1,company_00001@example.com,2022-05-03 02:17:14,Central,education,small,active,
2,company_00002@example.com,2024-11-24 18:31:29,South,education,small,active,
3,company_00003@example.com,2024-06-14 10:53:31,Moscow,retail,small,churned,2025-04-25 10:14:08.019085024
4,company_00004@example.com,2023-08-24 09:15:24,Siberia,travel,small,churned,2024-03-23 16:58:34.981796087
5,company_00005@example.com,2023-08-16 08:45:22,Saint Petersburg,services,small,active,
6,company_00006@example.com,2025-03-20 13:29:12,Moscow,travel,small,active,
7,company_00007@example.com,2022-04-28 13:46:01,Moscow,services,small,active,
8,company_00008@example.com,2024-08-11 23:59:13,Saint Petersburg,education,medium,active,
9,company_00009@example.com,2022-10-03 14:38:52,Moscow,education,small,active,
10,company_00010@example.com,2022-05-09 20:01:50,Volga,travel,medium,active,
11,company_00011@example.com,2023-12-22 05:21:28,Volga,retail,medium,active,
12,company_00012@example.com,2025-08-27 15:37:58,Central,education,medium,active,
13,company_00013@example.com,2024-10-03 12:13:18,Central,ecommerce,small,active,
14,company_00014@example.com,2024-11-07 05:44:19,Ural,services,small,churned,2025-06-06 08:53:40.226304068
15,company_00015@example.com,2024-09-08 12:12:50,Saint Petersburg,ecommerce,small,churned,2025-07-29 16:52:01.160219319
16,company_00016@example.com,2024-12-11 08:03:47,Volga,other,medium,active,
17,company_00017@example.com,2023-12-04 02:15:17,Siberia,ecommerce,small,churned,2025-06-11 03:21:00.452409066
18,company_00018@example.com,2022-06-25 06:13:36,Moscow,retail,large,active,
19,company_00019@example.com,2025-02-22 18:36:49,Volga,ecommerce,small,active,
20,company_00020@example.com,2023-09-09 03:04:15,Far East,retail,medium,active,
21,company_00021@example.com,2023-11-16 11:33:14,Volga,retail,small,active,
22,company_00022@example.com,2023-05-23 06:02:26,Northwest,travel,small,churned,2026-03-31 15:13:53.680529296
23,company_00023@example.com,2022-09-07 17:28:10,Saint Petersburg,ecommerce,small,active,
24,company_00024@example.com,2025-06-21 19:32:53,Volga,retail,small,active,
25,company_00025@example.com,2024-12-05 04:25:21,Saint Petersburg,ecommerce,small,active,
