request_id,account_id,requested_payment_system_id,created_at,status,request_reason
115,2324,7,2022-03-12 11:56:00.962900323,approved,higher_conversion
641,3465,2,2022-04-07 13:51:36.142024418,approved,international_payments
38,4316,8,2022-04-15 15:49:01.574136338,approved,installments
795,4894,2,2022-05-05 06:10:09.269717861,rejected,lower_fee
157,2895,7,2022-05-08 19:19:39.254865406,approved,lower_fee
153,4674,6,2022-05-25 12:16:11.306938875,in_progress,lower_fee
998,3215,3,2022-05-26 10:49:38.420611059,approved,provider_backup
820,2306,1,2022-05-29 04:25:49.754000080,new,provider_backup
666,2689,8,2022-06-02 09:05:42.265469434,approved,higher_conversion
883,2499,8,2022-06-03 06:25:43.209180438,in_progress,international_payments
651,3706,8,2022-06-12 00:50:18.713991947,approved,installments
978,1989,6,2022-06-25 15:09:59.359680942,approved,additional_payment_methods
969,2012,2,2022-06-26 21:54:18.646912870,approved,lower_fee
164,1129,8,2022-06-27 17:52:12.941950139,new,international_payments
563,3221,8,2022-06-28 17:56:04.909345698,in_progress,international_payments
209,3980,2,2022-06-30 10:40:54.991670532,approved,lower_fee
677,3003,1,2022-07-01 16:16:38.946680873,approved,lower_fee
467,2681,2,2022-07-02 00:26:25.115216470,approved,provider_backup
393,3117,7,2022-07-21 07:37:12.900552297,approved,provider_backup
52,4629,2,2022-07-31 08:35:06.340105850,new,additional_payment_methods
907,2684,1,2022-08-06 11:43:30.934228971,approved,additional_payment_methods
269,2894,8,2022-08-06 14:31:47.127668984,new,higher_conversion
540,4811,7,2022-08-08 05:59:41.798608022,approved,lower_fee
332,415,6,2022-08-12 01:04:30.414720614,approved,provider_backup
199,3830,8,2022-08-18 21:36:00.974522751,approved,provider_backup
64,3863,2,2022-09-08 11:43:58.048779264,rejected,additional_payment_methods
452,3383,3,2022-09-11 04:54:30.500080921,rejected,lower_fee
448,4614,1,2022-09-19 02:13:31.973366775,rejected,additional_payment_methods
793,4664,8,2022-09-28 22:05:51.919040073,approved,installments
944,1607,6,2022-09-29 08:17:59.518178316,approved,international_payments
196,1097,5,2022-10-21 08:50:15.430614916,in_progress,provider_backup
105,466,8,2022-10-22 06:27:55.712583433,in_progress,higher_conversion
925,4503,5,2022-10-24 02:25:43.043779351,approved,higher_conversion
861,3289,7,2022-10-24 04:50:47.700266479,in_progress,installments
838,719,5,2022-10-26 20:49:16.054104807,new,provider_backup
647,3019,2,2022-10-28 15:28:41.889425027,approved,provider_backup
981,832,3,2022-11-09 05:13:19.634483971,new,installments
794,176,2,2022-11-10 03:46:35.781177834,rejected,higher_conversion
691,4335,8,2022-11-12 01:47:22.264952380,approved,lower_fee
365,671,1,2022-11-12 07:02:00.775820825,approved,higher_conversion
487,44,2,2022-11-13 16:41:12.831248991,approved,additional_payment_methods
729,2711,7,2022-11-18 14:19:27.473987987,approved,installments
601,882,6,2022-11-24 04:43:59.129104409,approved,higher_conversion
415,411,8,2022-12-04 04:42:45.387186825,approved,provider_backup
574,2417,2,2022-12-08 02:12:01.966279604,rejected,provider_backup
718,568,2,2022-12-09 06:09:23.430662341,approved,international_payments
378,255,5,2022-12-10 13:39:53.776511379,approved,provider_backup
573,3847,2,2022-12-16 18:57:07.766288448,approved,additional_payment_methods
532,1150,6,2022-12-24 05:02:46.155205956,approved,higher_conversion
927,3895,2,2022-12-30 13:52:41.730617240,approved,installments
692,4692,3,2023-01-04 09:18:52.004402597,approved,installments
172,1808,1,2023-01-04 19:35:12.958401884,in_progress,additional_payment_methods
728,721,4,2023-01-07 07:33:32.667680223,in_progress,higher_conversion
831,4362,1,2023-01-09 17:27:36.852297895,approved,lower_fee
49,3162,4,2023-01-09 22:35:47.032134536,rejected,lower_fee
496,3929,2,2023-01-10 05:06:22.405788221,approved,additional_payment_methods
736,4842,2,2023-01-14 23:27:37.870270610,approved,additional_payment_methods
894,2651,2,2023-01-15 15:12:43.441141534,new,lower_fee
384,2293,8,2023-01-17 10:43:56.302704431,approved,lower_fee
398,1651,2,2023-01-18 03:09:16.446142249,new,lower_fee
809,284,1,2023-01-19 09:56:04.380740305,new,provider_backup
392,4626,2,2023-01-20 22:58:02.784756964,rejected,lower_fee
519,479,5,2023-02-01 03:39:16.305655047,approved,international_payments
158,2848,6,2023-02-02 16:24:24.569984697,in_progress,lower_fee
653,4645,1,2023-02-08 18:37:42.615818532,approved,lower_fee
765,4047,5,2023-02-11 19:39:45.253788520,rejected,installments
160,145,1,2023-02-15 06:37:05.116837077,approved,lower_fee
968,1421,1,2023-02-18 19:03:45.684449645,rejected,provider_backup
625,4406,6,2023-02-21 04:53:47.368232470,approved,additional_payment_methods
281,4606,8,2023-03-02 03:19:42.780420037,approved,provider_backup
869,2229,4,2023-03-04 12:49:58.121947069,rejected,lower_fee
454,1398,7,2023-03-04 13:54:04.577662311,approved,provider_backup
850,4480,6,2023-03-14 13:04:15.687844673,approved,additional_payment_methods
9,2414,1,2023-03-16 22:51:52.855765595,approved,lower_fee
226,3136,7,2023-03-22 10:42:14.388292473,approved,additional_payment_methods
997,2314,8,2023-03-30 04:14:02.347411193,new,higher_conversion
243,4093,7,2023-04-04 02:54:34.707723320,in_progress,higher_conversion
835,3394,5,2023-04-04 23:01:36.932286240,approved,additional_payment_methods
693,135,4,2023-04-06 08:11:53.806000329,new,international_payments
578,4025,8,2023-04-07 07:41:09.770329288,approved,additional_payment_methods
136,4063,7,2023-04-08 18:49:58.027022286,new,installments
355,4828,2,2023-04-12 01:56:48.333724888,new,installments
282,4596,2,2023-04-14 12:29:07.146563906,rejected,international_payments
96,4741,1,2023-04-14 16:00:38.076510865,new,higher_conversion
720,3186,1,2023-04-24 03:42:41.965455664,in_progress,additional_payment_methods
286,3937,1,2023-04-28 22:28:59.823755909,approved,lower_fee
354,291,4,2023-05-02 12:30:53.033493488,approved,international_payments
