monthly_pricing_id,payment_system_id,pricing_month,monthly_volume,volume_tier_id,provider_cost_rate
1,1,2022-01-01,19099934.88,1,0.026
2,1,2022-02-01,21253754.9,1,0.026
3,1,2022-03-01,114502904.39,2,0.025
4,1,2022-04-01,117927890.0,2,0.025
5,1,2022-05-01,150056908.81,2,0.025
6,1,2022-06-01,201041620.22,2,0.025
7,1,2022-07-01,233283910.43,2,0.025
8,1,2022-08-01,390145970.27,2,0.025
9,1,2022-09-01,393704020.94,2,0.025
10,1,2022-10-01,407588703.52,2,0.025
11,1,2022-11-01,309931506.35,2,0.025
12,1,2022-12-01,247500112.96,2,0.025
13,1,2023-01-01,449699657.08,2,0.025
14,1,2023-02-01,413457733.54,2,0.025
15,1,2023-03-01,678353085.05,3,0.024
16,1,2023-04-01,602854972.3,3,0.024
17,1,2023-05-01,535563983.74,3,0.024
18,1,2023-06-01,590256851.83,3,0.024
19,1,2023-07-01,676966699.06,3,0.024
20,1,2023-08-01,689265379.17,3,0.024
21,1,2023-09-01,574558059.17,3,0.024
22,1,2023-10-01,734822646.76,3,0.024
23,1,2023-11-01,783534919.56,3,0.024
24,1,2023-12-01,784053349.92,3,0.024
25,1,2024-01-01,742798408.76,3,0.024
26,1,2024-02-01,853329470.62,3,0.024
27,1,2024-03-01,830252593.34,3,0.024
28,1,2024-04-01,914094600.12,3,0.024
29,1,2024-05-01,962220999.27,3,0.024
30,1,2024-06-01,1030403159.87,4,0.023
31,1,2024-07-01,1067765222.26,4,0.023
32,1,2024-08-01,1182034132.07,4,0.023
33,1,2024-09-01,1213041938.83,4,0.023
34,1,2024-10-01,1070889915.6,4,0.023
35,1,2024-11-01,1253631079.37,4,0.023
36,1,2024-12-01,1555907339.05,4,0.023
37,1,2025-01-01,1559533092.47,4,0.023
38,1,2025-02-01,1528004834.72,4,0.023
39,1,2025-03-01,1677730755.42,4,0.023
40,1,2025-04-01,1407717029.79,4,0.023
41,1,2025-05-01,1587772437.13,4,0.023
42,1,2025-06-01,1740781010.29,4,0.023
43,1,2025-07-01,1821610028.38,4,0.023
44,1,2025-08-01,2000899023.85,4,0.023
45,1,2025-09-01,1960439456.24,4,0.023
