volume_tier_id,payment_system_id,tier_name,min_monthly_volume,max_monthly_volume,provider_cost_rate
1,1,Tier 1,0.0,100000000.0,0.026
2,1,Tier 2,100000000.0,500000000.0,0.025
3,1,Tier 3,500000000.0,1000000000.0,0.024
4,1,Tier 4,1000000000.0,,0.023
5,2,Tier 1,0.0,100000000.0,0.05
6,2,Tier 2,100000000.0,500000000.0,0.047
7,2,Tier 3,500000000.0,1000000000.0,0.044
8,2,Tier 4,1000000000.0,,0.04
9,3,Tier 1,0.0,100000000.0,0.028
10,3,Tier 2,100000000.0,500000000.0,0.027
11,3,Tier 3,500000000.0,1000000000.0,0.026
12,3,Tier 4,1000000000.0,,0.025
13,4,Tier 1,0.0,100000000.0,0.025
14,4,Tier 2,100000000.0,500000000.0,0.024
15,4,Tier 3,500000000.0,1000000000.0,0.023
16,4,Tier 4,1000000000.0,,0.022
17,5,Tier 1,0.0,100000000.0,0.023
18,5,Tier 2,100000000.0,500000000.0,0.022
19,5,Tier 3,500000000.0,1000000000.0,0.021
20,5,Tier 4,1000000000.0,,0.02
21,6,Tier 1,0.0,100000000.0,0.033
22,6,Tier 2,100000000.0,500000000.0,0.031
23,6,Tier 3,500000000.0,1000000000.0,0.029
24,6,Tier 4,1000000000.0,,0.027
25,7,Tier 1,0.0,100000000.0,0.039
26,7,Tier 2,100000000.0,500000000.0,0.037
27,7,Tier 3,500000000.0,1000000000.0,0.035
28,7,Tier 4,1000000000.0,,0.033
29,8,Tier 1,0.0,100000000.0,0.009
30,8,Tier 2,100000000.0,500000000.0,0.008
31,8,Tier 3,500000000.0,1000000000.0,0.007
32,8,Tier 4,1000000000.0,,0.006
