condition_id,tariff_id,payment_system_id,client_fee_rate,discount_from_market_rate
1,1,1,0.03,0.0
2,2,1,0.028,0.0019999999999999983
3,3,1,0.027,0.002999999999999999
4,1,2,0.06,0.0
5,2,2,0.055,0.0049999999999999975
6,3,2,0.05,0.009999999999999995
7,1,3,0.032,0.0
8,2,3,0.029,0.002999999999999999
9,3,3,0.028,0.004
10,1,4,0.029,0.0
11,2,4,0.027,0.0020000000000000018
12,3,4,0.026,0.0030000000000000027
13,1,5,0.027,0.0
14,2,5,0.025,0.0019999999999999983
15,3,5,0.024,0.002999999999999999
16,1,6,0.039,0.0
17,2,6,0.036,0.0030000000000000027
18,3,6,0.033,0.005999999999999998
19,1,7,0.045,0.0
20,2,7,0.042,0.0029999999999999957
21,3,7,0.039,0.005999999999999998
22,1,8,0.012,0.0
23,2,8,0.01,0.002
24,3,8,0.009,0.003000000000000001
